numSeedling,position.x,numMature,position.y,numSapling,step,replicate
1,25,0,15,0,34,0
1,45,0,95,0,34,0
1,75,0,5,0,34,0
1,35,0,45,0,34,0
1,25,0,65,0,34,0
1,15,0,75,0,34,0
1,45,0,25,0,34,0
1,15,0,35,0,34,0
1,35,0,35,0,34,0
1,95,0,5,0,34,0
1,45,0,55,0,34,0
1,15,0,45,0,34,0
1,65,0,55,0,34,0
1,25,0,95,0,34,0
1,5,0,55,0,34,0
1,5,0,85,0,34,0
1,95,0,65,0,34,0
1,75,0,75,0,34,0
1,15,0,55,0,34,0
1,65,0,85,0,34,0
1,15,0,25,0,34,0
1,5,0,65,0,34,0
1,25,0,55,0,34,0
1,55,0,65,0,34,0
1,15,0,15,0,34,0
1,45,0,75,0,34,0
1,35,0,55,0,34,0
1,95,0,25,0,34,0
1,35,0,5,0,34,0
1,75,0,95,0,34,0
1,55,0,95,0,34,0
1,45,0,5,0,34,0
1,25,0,75,0,34,0
1,65,0,45,0,34,0
1,45,0,85,0,34,0
1,85,0,45,0,34,0
1,85,0,75,0,34,0
1,35,0,25,0,34,0
1,5,0,75,0,34,0
1,95,0,95,0,34,0
1,75,0,25,0,34,0
1,35,0,75,0,34,0
1,55,0,75,0,34,0
1,5,0,45,0,34,0
1,65,0,25,0,34,0
1,95,0,35,0,34,0
1,55,0,85,0,34,0
1,35,0,65,0,34,0
1,65,0,15,0,34,0
1,65,0,75,0,34,0
1,45,0,15,0,34,0
1,65,0,35,0,34,0
1,55,0,15,0,34,0
1,85,0,35,0,34,0
1,15,0,65,0,34,0
1,85,0,85,0,34,0
1,5,0,15,0,34,0
1,85,0,55,0,34,0
1,95,0,75,0,34,0
1,65,0,95,0,34,0
1,95,0,55,0,34,0
1,25,0,25,0,34,0
1,15,0,85,0,34,0
1,45,0,65,0,34,0
1,75,0,55,0,34,0
1,85,0,5,0,34,0
1,75,0,45,0,34,0
1,15,0,95,0,34,0
1,5,0,5,0,34,0
1,55,0,45,0,34,0
1,75,0,65,0,34,0
1,85,0,15,0,34,0
1,85,0,95,0,34,0
1,55,0,35,0,34,0
1,25,0,5,0,34,0
1,5,0,25,0,34,0
1,45,0,45,0,34,0
1,55,0,55,0,34,0
1,35,0,95,0,34,0
1,75,0,85,0,34,0
1,25,0,35,0,34,0
1,45,0,35,0,34,0
1,65,0,5,0,34,0
1,35,0,85,0,34,0
1,95,0,45,0,35,0
1,25,0,5,0,35,0
1,85,0,15,0,35,0
1,95,0,15,0,35,0
1,65,0,65,0,35,0
1,55,0,55,0,35,0
1,25,0,85,0,35,0
1,5,0,95,0,35,0
1,55,0,35,0,35,0
1,75,0,15,0,35,0
1,75,0,85,0,35,0
1,75,0,5,0,35,0
1,5,0,25,0,35,0
1,35,0,35,0,35,0
1,45,0,35,0,35,0
1,35,0,15,0,35,0
1,65,0,55,0,35,0
1,45,0,45,0,35,0
1,65,0,5,0,35,0
1,15,0,25,0,35,0
1,5,0,35,0,35,0
1,35,0,95,0,35,0
1,35,0,55,0,35,0
1,45,0,95,0,35,0
1,45,0,5,0,35,0
1,35,0,85,0,35,0
1,25,0,35,0,35,0
1,55,0,5,0,35,0
1,5,0,75,0,35,0
1,95,0,75,0,35,0
1,15,0,5,0,35,0
1,95,0,95,0,35,0
1,75,0,35,0,35,0
1,55,0,75,0,35,0
1,15,0,85,0,35,0
1,25,0,25,0,35,0
1,25,0,65,0,35,0
1,45,0,65,0,35,0
1,65,0,25,0,35,0
1,75,0,55,0,35,0
1,5,0,55,0,35,0
1,55,0,85,0,35,0
1,75,0,45,0,35,0
1,85,0,5,0,35,0
1,65,0,85,0,35,0
1,5,0,5,0,35,0
1,85,0,65,0,35,0
1,15,0,95,0,35,0
1,45,0,75,0,35,0
1,75,0,65,0,35,0
1,85,0,25,0,35,0
1,55,0,45,0,35,0
1,35,0,45,0,35,0
1,25,0,55,0,35,0
1,85,0,95,0,35,0
1,25,0,15,0,35,0
1,15,0,35,0,35,0
1,35,0,5,0,35,0
1,45,0,25,0,35,0
1,55,0,25,0,35,0
1,65,0,35,0,35,0
1,95,0,5,0,35,0
1,45,0,85,0,35,0
1,15,0,45,0,35,0
1,25,0,45,0,35,0
1,55,0,65,0,35,0
1,25,0,95,0,35,0
1,75,0,25,0,35,0
1,75,0,95,0,35,0
1,95,0,85,0,35,0
1,75,0,75,0,35,0
1,5,0,85,0,35,0
1,85,0,45,0,35,0
1,95,0,35,0,35,0
1,15,0,75,0,35,0
1,25,0,75,0,35,0
1,35,0,75,0,35,0
1,15,0,55,0,35,0
1,55,0,15,0,35,0
1,45,0,55,0,35,0
1,65,0,15,0,35,0
1,35,0,25,0,35,0
1,85,0,55,0,35,0
1,15,0,65,0,35,0
1,95,0,65,0,35,0
1,5,0,65,0,35,0
1,65,0,95,0,35,0
1,5,0,45,0,35,0
1,15,0,15,0,35,0
1,65,0,75,0,35,0
1,35,0,65,0,35,0
1,95,0,25,0,35,0
1,85,0,85,0,35,0
1,45,0,15,0,35,0
1,55,0,95,0,35,0
1,95,0,55,0,35,0
1,85,0,35,0,35,0
1,5,0,15,0,35,0
1,65,0,45,0,35,0
1,85,0,75,0,35,0
1,25,0,5,0,36,0
1,95,0,15,0,36,0
1,95,0,45,0,36,0
1,55,0,55,0,36,0
1,75,0,85,0,36,0
1,95,0,75,0,36,0
1,65,0,65,0,36,0
1,45,0,35,0,36,0
1,85,0,65,0,36,0
1,15,0,85,0,36,0
1,85,0,25,0,36,0
1,75,0,15,0,36,0
1,25,0,15,0,36,0
1,45,0,65,0,36,0
1,45,0,25,0,36,0
1,35,0,15,0,36,0
1,15,0,45,0,36,0
1,75,0,45,0,36,0
1,75,0,75,0,36,0
1,5,0,35,0,36,0
1,55,0,65,0,36,0
1,5,0,5,0,36,0
1,75,0,95,0,36,0
1,45,0,95,0,36,0
1,85,0,45,0,36,0
1,75,0,65,0,36,0
1,35,0,75,0,36,0
1,65,0,15,0,36,0
1,55,0,5,0,36,0
1,15,0,65,0,36,0
1,25,0,25,0,36,0
1,65,0,95,0,36,0
1,15,0,5,0,36,0
1,65,0,5,0,36,0
1,75,0,55,0,36,0
1,75,0,35,0,36,0
1,35,0,85,0,36,0
1,25,0,65,0,36,0
1,85,0,5,0,36,0
1,95,0,95,0,36,0
1,55,0,75,0,36,0
1,5,0,55,0,36,0
1,15,0,95,0,36,0
1,65,0,25,0,36,0
1,55,0,45,0,36,0
1,65,0,85,0,36,0
1,85,0,95,0,36,0
1,45,0,75,0,36,0
1,35,0,45,0,36,0
1,55,0,25,0,36,0
1,35,0,65,0,36,0
1,45,0,15,0,36,0
1,15,0,35,0,36,0
1,25,0,45,0,36,0
1,85,0,35,0,36,0
1,5,0,15,0,36,0
1,95,0,85,0,36,0
1,95,0,5,0,36,0
1,15,0,75,0,36,0
1,25,0,95,0,36,0
1,15,0,25,0,36,0
1,45,0,55,0,36,0
1,5,0,65,0,36,0
1,5,0,85,0,36,0
1,15,0,15,0,36,0
1,95,0,65,0,36,0
1,15,0,55,0,36,0
1,95,0,25,0,36,0
1,55,0,95,0,36,0
1,65,0,45,0,36,0
1,25,0,55,0,36,0
1,85,0,75,0,36,0
1,25,0,85,0,36,0
1,35,0,55,0,36,0
1,35,0,5,0,36,0
1,45,0,5,0,36,0
1,5,0,95,0,36,0
1,5,0,75,0,36,0
1,45,0,85,0,36,0
1,55,0,85,0,36,0
1,75,0,5,0,36,0
1,65,0,35,0,36,0
1,75,0,25,0,36,0
1,35,0,35,0,36,0
1,95,0,35,0,36,0
1,65,0,55,0,36,0
1,55,0,15,0,36,0
1,85,0,15,0,36,0
1,85,0,55,0,36,0
1,55,0,35,0,36,0
1,25,0,75,0,36,0
1,5,0,25,0,36,0
1,35,0,25,0,36,0
1,45,0,45,0,36,0
1,5,0,45,0,36,0
1,35,0,95,0,36,0
1,65,0,75,0,36,0
1,25,0,35,0,36,0
1,85,0,85,0,36,0
1,95,0,55,0,36,0
1,25,0,25,0,37,0
1,85,0,15,0,37,0
1,95,0,45,0,37,0
1,25,0,5,0,37,0
1,75,0,55,0,37,0
1,55,0,25,0,37,0
1,55,0,55,0,37,0
1,85,0,5,0,37,0
1,55,0,35,0,37,0
1,65,0,65,0,37,0
1,15,0,95,0,37,0
1,25,0,45,0,37,0
1,75,0,85,0,37,0
1,55,0,45,0,37,0
1,5,0,25,0,37,0
1,75,0,15,0,37,0
1,95,0,85,0,37,0
1,45,0,35,0,37,0
1,85,0,95,0,37,0
1,45,0,45,0,37,0
1,35,0,15,0,37,0
1,85,0,65,0,37,0
1,65,0,5,0,37,0
1,15,0,75,0,37,0
1,85,0,25,0,37,0
1,35,0,95,0,37,0
1,5,0,35,0,37,0
1,25,0,15,0,37,0
1,35,0,85,0,37,0
1,45,0,55,0,37,0
1,45,0,25,0,37,0
1,25,0,35,0,37,0
1,45,0,95,0,37,0
1,15,0,45,0,37,0
1,95,0,65,0,37,0
1,95,0,95,0,37,0
1,75,0,75,0,37,0
1,95,0,75,0,37,0
1,35,0,45,0,37,0
1,55,0,65,0,37,0
1,55,0,75,0,37,0
1,95,0,15,0,37,0
1,75,0,95,0,37,0
1,15,0,85,0,37,0
1,15,0,35,0,37,0
1,85,0,45,0,37,0
1,65,0,25,0,37,0
1,25,0,85,0,37,0
1,35,0,75,0,37,0
1,45,0,65,0,37,0
1,95,0,5,0,37,0
1,35,0,65,0,37,0
1,5,0,95,0,37,0
1,15,0,25,0,37,0
1,75,0,45,0,37,0
1,25,0,95,0,37,0
1,35,0,55,0,37,0
1,45,0,15,0,37,0
1,75,0,5,0,37,0
1,45,0,5,0,37,0
1,5,0,5,0,37,0
1,5,0,75,0,37,0
1,5,0,85,0,37,0
1,35,0,35,0,37,0
1,85,0,35,0,37,0
1,55,0,85,0,37,0
1,65,0,55,0,37,0
1,55,0,5,0,37,0
1,75,0,65,0,37,0
1,5,0,15,0,37,0
1,15,0,55,0,37,0
1,5,0,65,0,37,0
1,65,0,35,0,37,0
1,15,0,15,0,37,0
1,15,0,5,0,37,0
1,95,0,25,0,37,0
1,25,0,55,0,37,0
1,25,0,75,0,37,0
1,55,0,95,0,37,0
1,75,0,35,0,37,0
1,65,0,45,0,37,0
1,35,0,5,0,37,0
1,35,0,25,0,37,0
1,85,0,75,0,37,0
1,65,0,15,0,37,0
1,25,0,65,0,37,0
1,45,0,85,0,37,0
1,5,0,45,0,37,0
1,15,0,65,0,37,0
1,5,0,55,0,37,0
1,65,0,95,0,37,0
1,75,0,25,0,37,0
1,65,0,75,0,37,0
1,65,0,85,0,37,0
1,95,0,35,0,37,0
1,85,0,85,0,37,0
1,45,0,75,0,37,0
1,55,0,15,0,37,0
1,95,0,55,0,37,0
1,85,0,55,0,37,0
1,25,0,5,0,38,0
1,85,0,15,0,38,0
1,55,0,55,0,38,0
1,75,0,85,0,38,0
1,55,0,35,0,38,0
1,45,0,35,0,38,0
1,65,0,5,0,38,0
1,35,0,85,0,38,0
1,5,0,25,0,38,0
1,85,0,65,0,38,0
1,25,0,55,0,38,0
1,95,0,95,0,38,0
1,55,0,75,0,38,0
1,45,0,45,0,38,0
1,35,0,5,0,38,0
1,65,0,25,0,38,0
1,45,0,85,0,38,0
1,85,0,25,0,38,0
1,35,0,65,0,38,0
1,75,0,25,0,38,0
1,35,0,95,0,38,0
1,45,0,15,0,38,0
1,95,0,35,0,38,0
1,85,0,35,0,38,0
1,25,0,15,0,38,0
1,55,0,15,0,38,0
1,5,0,15,0,38,0
1,85,0,55,0,38,0
1,25,0,35,0,38,0
1,35,0,45,0,38,0
1,45,0,25,0,38,0
1,25,0,75,0,38,0
1,15,0,35,0,38,0
1,35,0,25,0,38,0
1,95,0,5,0,38,0
1,25,0,95,0,38,0
1,5,0,45,0,38,0
1,15,0,45,0,38,0
1,5,0,85,0,38,0
1,65,0,75,0,38,0
1,15,0,55,0,38,0
1,85,0,85,0,38,0
1,75,0,75,0,38,0
1,5,0,65,0,38,0
1,95,0,75,0,38,0
1,95,0,55,0,38,0
1,15,0,15,0,38,0
1,95,0,15,0,38,0
1,55,0,65,0,38,0
1,95,0,25,0,38,0
1,25,0,85,0,38,0
1,15,0,85,0,38,0
1,55,0,95,0,38,0
1,5,0,95,0,38,0
1,75,0,95,0,38,0
1,65,0,45,0,38,0
1,75,0,5,0,38,0
1,45,0,65,0,38,0
1,85,0,75,0,38,0
1,35,0,35,0,38,0
1,85,0,45,0,38,0
1,95,0,45,0,38,0
1,65,0,55,0,38,0
1,75,0,45,0,38,0
1,65,0,65,0,38,0
1,15,0,25,0,38,0
1,35,0,75,0,38,0
1,75,0,15,0,38,0
1,35,0,55,0,38,0
1,5,0,5,0,38,0
1,35,0,15,0,38,0
1,45,0,5,0,38,0
1,5,0,35,0,38,0
1,5,0,75,0,38,0
1,65,0,15,0,38,0
1,75,0,65,0,38,0
1,45,0,95,0,38,0
1,55,0,85,0,38,0
1,55,0,5,0,38,0
1,65,0,35,0,38,0
1,15,0,65,0,38,0
1,25,0,25,0,38,0
1,15,0,5,0,38,0
1,55,0,25,0,38,0
1,65,0,95,0,38,0
1,75,0,35,0,38,0
1,75,0,55,0,38,0
1,25,0,65,0,38,0
1,25,0,45,0,38,0
1,5,0,55,0,38,0
1,85,0,5,0,38,0
1,95,0,85,0,38,0
1,65,0,85,0,38,0
1,15,0,75,0,38,0
1,45,0,75,0,38,0
1,45,0,55,0,38,0
1,15,0,95,0,38,0
1,95,0,65,0,38,0
1,55,0,45,0,38,0
1,85,0,95,0,38,0
1,95,0,45,0,39,0
1,85,0,15,0,39,0
1,95,0,95,0,39,0
1,55,0,25,0,39,0
1,25,0,45,0,39,0
1,65,0,65,0,39,0
1,55,0,75,0,39,0
1,75,0,15,0,39,0
1,95,0,85,0,39,0
1,55,0,35,0,39,0
1,15,0,75,0,39,0
1,35,0,15,0,39,0
1,45,0,55,0,39,0
1,5,0,35,0,39,0
1,65,0,25,0,39,0
1,5,0,25,0,39,0
1,95,0,65,0,39,0
1,45,0,95,0,39,0
1,55,0,5,0,39,0
1,95,0,15,0,39,0
1,35,0,65,0,39,0
1,15,0,5,0,39,0
1,85,0,65,0,39,0
1,25,0,5,0,39,0
1,75,0,35,0,39,0
1,45,0,15,0,39,0
1,85,0,25,0,39,0
1,25,0,65,0,39,0
1,5,0,55,0,39,0
1,55,0,55,0,39,0
1,25,0,15,0,39,0
1,65,0,85,0,39,0
1,45,0,25,0,39,0
1,45,0,75,0,39,0
1,15,0,45,0,39,0
1,75,0,85,0,39,0
1,55,0,65,0,39,0
1,85,0,35,0,39,0
1,75,0,75,0,39,0
1,75,0,95,0,39,0
1,45,0,35,0,39,0
1,25,0,55,0,39,0
1,85,0,45,0,39,0
1,5,0,15,0,39,0
1,35,0,5,0,39,0
1,35,0,75,0,39,0
1,65,0,5,0,39,0
1,45,0,85,0,39,0
1,65,0,15,0,39,0
1,75,0,25,0,39,0
1,35,0,85,0,39,0
1,15,0,65,0,39,0
1,95,0,35,0,39,0
1,95,0,75,0,39,0
1,65,0,95,0,39,0
1,55,0,15,0,39,0
1,25,0,75,0,39,0
1,85,0,55,0,39,0
1,15,0,25,0,39,0
1,35,0,25,0,39,0
1,15,0,85,0,39,0
1,5,0,65,0,39,0
1,5,0,45,0,39,0
1,35,0,55,0,39,0
1,15,0,15,0,39,0
1,45,0,65,0,39,0
1,65,0,75,0,39,0
1,95,0,25,0,39,0
1,85,0,85,0,39,0
1,45,0,5,0,39,0
1,55,0,95,0,39,0
1,75,0,45,0,39,0
1,65,0,45,0,39,0
1,95,0,55,0,39,0
1,5,0,75,0,39,0
1,85,0,75,0,39,0
1,35,0,45,0,39,0
1,25,0,85,0,39,0
1,5,0,5,0,39,0
1,55,0,85,0,39,0
1,15,0,35,0,39,0
1,5,0,95,0,39,0
1,95,0,5,0,39,0
1,75,0,5,0,39,0
1,75,0,65,0,39,0
1,65,0,35,0,39,0
1,25,0,95,0,39,0
1,35,0,35,0,39,0
1,25,0,25,0,39,0
1,65,0,55,0,39,0
1,5,0,85,0,39,0
1,45,0,45,0,39,0
1,15,0,55,0,39,0
1,75,0,55,0,39,0
1,35,0,95,0,39,0
1,25,0,35,0,39,0
1,85,0,5,0,39,0
1,15,0,95,0,39,0
1,55,0,45,0,39,0
1,85,0,95,0,39,0
1,25,0,5,0,40,0
1,35,0,45,0,40,0
1,85,0,15,0,40,0
1,25,0,25,0,40,0
1,75,0,55,0,40,0
1,55,0,55,0,40,0
1,15,0,35,0,40,0
1,75,0,85,0,40,0
1,85,0,5,0,40,0
1,55,0,35,0,40,0
1,15,0,95,0,40,0
1,45,0,35,0,40,0
1,95,0,5,0,40,0
1,55,0,45,0,40,0
1,5,0,25,0,40,0
1,65,0,5,0,40,0
1,85,0,65,0,40,0
1,85,0,95,0,40,0
1,25,0,95,0,40,0
1,35,0,85,0,40,0
1,45,0,45,0,40,0
1,55,0,25,0,40,0
1,95,0,95,0,40,0
1,85,0,25,0,40,0
1,55,0,75,0,40,0
1,5,0,85,0,40,0
1,35,0,95,0,40,0
1,65,0,25,0,40,0
1,25,0,55,0,40,0
1,25,0,15,0,40,0
1,35,0,65,0,40,0
1,15,0,55,0,40,0
1,35,0,5,0,40,0
1,25,0,35,0,40,0
1,45,0,15,0,40,0
1,45,0,85,0,40,0
1,85,0,35,0,40,0
1,45,0,25,0,40,0
1,95,0,75,0,40,0
1,5,0,15,0,40,0
1,75,0,25,0,40,0
1,5,0,65,0,40,0
1,15,0,45,0,40,0
1,95,0,35,0,40,0
1,55,0,5,0,40,0
1,15,0,85,0,40,0
1,55,0,15,0,40,0
1,15,0,5,0,40,0
1,15,0,15,0,40,0
1,75,0,75,0,40,0
1,85,0,55,0,40,0
1,75,0,35,0,40,0
1,45,0,65,0,40,0
1,25,0,75,0,40,0
1,25,0,65,0,40,0
1,55,0,65,0,40,0
1,95,0,25,0,40,0
1,35,0,25,0,40,0
1,5,0,55,0,40,0
1,75,0,45,0,40,0
1,5,0,45,0,40,0
1,65,0,85,0,40,0
1,75,0,95,0,40,0
1,55,0,95,0,40,0
1,5,0,5,0,40,0
1,65,0,75,0,40,0
1,45,0,75,0,40,0
1,85,0,85,0,40,0
1,85,0,45,0,40,0
1,95,0,15,0,40,0
1,75,0,65,0,40,0
1,65,0,45,0,40,0
1,95,0,55,0,40,0
1,25,0,85,0,40,0
1,35,0,75,0,40,0
1,25,0,45,0,40,0
1,5,0,95,0,40,0
1,85,0,75,0,40,0
1,15,0,25,0,40,0
1,75,0,5,0,40,0
1,95,0,85,0,40,0
1,95,0,45,0,40,0
1,65,0,15,0,40,0
1,35,0,35,0,40,0
1,15,0,75,0,40,0
1,35,0,55,0,40,0
1,15,0,65,0,40,0
1,45,0,55,0,40,0
1,65,0,55,0,40,0
1,65,0,65,0,40,0
1,45,0,5,0,40,0
1,95,0,65,0,40,0
1,65,0,95,0,40,0
1,75,0,15,0,40,0
1,5,0,75,0,40,0
1,55,0,85,0,40,0
1,35,0,15,0,40,0
1,65,0,35,0,40,0
1,5,0,35,0,40,0
1,45,0,95,0,40,0
1,25,0,25,0,41,0
1,25,0,5,0,41,0
1,95,0,45,0,41,0
1,85,0,15,0,41,0
1,75,0,55,0,41,0
1,55,0,55,0,41,0
1,85,0,5,0,41,0
1,75,0,85,0,41,0
1,65,0,65,0,41,0
1,15,0,95,0,41,0
1,45,0,35,0,41,0
1,55,0,35,0,41,0
1,75,0,15,0,41,0
1,55,0,45,0,41,0
1,65,0,5,0,41,0
1,85,0,95,0,41,0
1,35,0,85,0,41,0
1,35,0,15,0,41,0
1,5,0,25,0,41,0
1,5,0,35,0,41,0
1,35,0,45,0,41,0
1,45,0,45,0,41,0
1,15,0,35,0,41,0
1,45,0,95,0,41,0
1,55,0,5,0,41,0
1,95,0,5,0,41,0
1,35,0,95,0,41,0
1,15,0,5,0,41,0
1,25,0,95,0,41,0
1,5,0,65,0,41,0
1,75,0,35,0,41,0
1,5,0,85,0,41,0
1,25,0,35,0,41,0
1,25,0,65,0,41,0
1,15,0,55,0,41,0
1,15,0,15,0,41,0
1,5,0,55,0,41,0
1,85,0,65,0,41,0
1,95,0,75,0,41,0
1,65,0,85,0,41,0
1,95,0,25,0,41,0
1,45,0,75,0,41,0
1,85,0,25,0,41,0
1,25,0,15,0,41,0
1,25,0,55,0,41,0
1,15,0,85,0,41,0
1,35,0,5,0,41,0
1,55,0,25,0,41,0
1,55,0,95,0,41,0
1,45,0,65,0,41,0
1,45,0,85,0,41,0
1,25,0,45,0,41,0
1,65,0,45,0,41,0
1,75,0,25,0,41,0
1,95,0,85,0,41,0
1,75,0,45,0,41,0
1,95,0,35,0,41,0
1,15,0,75,0,41,0
1,85,0,75,0,41,0
1,55,0,15,0,41,0
1,45,0,55,0,41,0
1,5,0,5,0,41,0
1,95,0,65,0,41,0
1,85,0,55,0,41,0
1,95,0,15,0,41,0
1,15,0,25,0,41,0
1,25,0,75,0,41,0
1,35,0,55,0,41,0
1,35,0,25,0,41,0
1,25,0,85,0,41,0
1,75,0,65,0,41,0
1,45,0,5,0,41,0
1,5,0,45,0,41,0
1,5,0,95,0,41,0
1,5,0,75,0,41,0
1,65,0,75,0,41,0
1,55,0,65,0,41,0
1,55,0,85,0,41,0
1,85,0,85,0,41,0
1,75,0,5,0,41,0
1,65,0,35,0,41,0
1,95,0,55,0,41,0
1,75,0,95,0,41,0
1,45,0,25,0,41,0
1,95,0,95,0,41,0
1,35,0,35,0,41,0
1,85,0,45,0,41,0
1,15,0,45,0,41,0
1,55,0,75,0,41,0
1,75,0,75,0,41,0
1,65,0,55,0,41,0
1,65,0,25,0,41,0
1,35,0,75,0,41,0
1,35,0,65,0,41,0
1,65,0,15,0,41,0
1,45,0,15,0,41,0
1,15,0,65,0,41,0
1,85,0,35,0,41,0
1,5,0,15,0,41,0
1,65,0,95,0,41,0
1,35,0,45,0,42,0
1,25,0,25,0,42,0
1,95,0,45,0,42,0
1,85,0,65,0,42,0
1,25,0,5,0,42,0
1,85,0,15,0,42,0
1,15,0,35,0,42,0
1,75,0,55,0,42,0
1,95,0,5,0,42,0
1,85,0,25,0,42,0
1,65,0,65,0,42,0
1,25,0,95,0,42,0
1,55,0,35,0,42,0
1,55,0,55,0,42,0
1,85,0,5,0,42,0
1,75,0,15,0,42,0
1,25,0,15,0,42,0
1,5,0,85,0,42,0
1,5,0,25,0,42,0
1,15,0,95,0,42,0
1,75,0,85,0,42,0
1,15,0,55,0,42,0
1,35,0,15,0,42,0
1,45,0,25,0,42,0
1,5,0,65,0,42,0
1,45,0,45,0,42,0
1,55,0,45,0,42,0
1,5,0,35,0,42,0
1,15,0,45,0,42,0
1,15,0,15,0,42,0
1,35,0,95,0,42,0
1,85,0,95,0,42,0
1,45,0,95,0,42,0
1,95,0,25,0,42,0
1,75,0,75,0,42,0
1,55,0,95,0,42,0
1,25,0,35,0,42,0
1,55,0,5,0,42,0
1,55,0,25,0,42,0
1,55,0,65,0,42,0
1,65,0,45,0,42,0
1,85,0,75,0,42,0
1,95,0,75,0,42,0
1,15,0,5,0,42,0
1,25,0,45,0,42,0
1,75,0,95,0,42,0
1,25,0,55,0,42,0
1,75,0,35,0,42,0
1,15,0,85,0,42,0
1,85,0,45,0,42,0
1,95,0,85,0,42,0
1,35,0,5,0,42,0
1,25,0,65,0,42,0
1,45,0,65,0,42,0
1,45,0,85,0,42,0
1,35,0,75,0,42,0
1,15,0,75,0,42,0
